,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,Achromobacter~phage~83-24,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.2308,0.95077081,0.2195,1,1,1,1.0
1,Achromobacter~phage~JWAlpha,Caudovirales,Podoviridae,Jwalphavirus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
2,Achromobacter~phage~JWF,Unassigned,Unassigned,Unassigned,13_0,Clustered,2,VC_13_0,2,0.9371,0.5,0.4685,1,1,1,1.0
3,Achromobacter~phage~JWX,Caudovirales,Siphoviridae,Jwxvirus,0_0,Clustered,2,VC_0_0,2,0.2308,0.95077081,0.2195,1,1,1,1.0
4,Achromobacter~phage~phiAxp-2,Unassigned,Unassigned,Unassigned,15_0,Clustered,7,VC_15_0,7,0.2201,0.9963576,0.2193,1,1,1,0.9524
5,Achromobacter~phage~phiAxp-3,Caudovirales,Podoviridae,Jwalphavirus,6_2,Clustered,12,VC_6_2,12,0.4362,1.0,0.4362,4,2,2,0.8939
6,Acidianus~bottle-shaped~virus,Unassigned,Ampullaviridae,Ampullavirus,18_0,Clustered,3,VC_18_0,3,1.0,1.0,1.0,2,2,1,1.0
7,Acidianus~bottle-shaped~virus~2,Unassigned,Unassigned,Unassigned,18_0,Clustered,3,VC_18_0,3,1.0,1.0,1.0,2,2,1,1.0
8,Acidianus~bottle-shaped~virus~3,Unassigned,Unassigned,Unassigned,18_0,Clustered,3,VC_18_0,3,1.0,1.0,1.0,2,2,1,1.0
9,Acidianus~filamentous~virus~3,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,20_0,Clustered,6,VC_20_0,6,0.9555,0.99993866,0.9554,1,1,1,1.0
10,Acidianus~filamentous~virus~6,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,20_0,Clustered,6,VC_20_0,6,0.9555,0.99993866,0.9554,1,1,1,1.0
11,Acidianus~filamentous~virus~7,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,20_0,Clustered,6,VC_20_0,6,0.9555,0.99993866,0.9554,1,1,1,1.0
12,Acidianus~filamentous~virus~8,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,20_0,Clustered,6,VC_20_0,6,0.9555,0.99993866,0.9554,1,1,1,1.0
13,Acidianus~filamentous~virus~9,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,20_0,Clustered,6,VC_20_0,6,0.9555,0.99993866,0.9554,1,1,1,1.0
14,Acidianus~spindle-shaped~virus~1,Unassigned,Fuselloviridae,Betafusellovirus,22_0,Clustered,9,VC_22_0,9,0.909,0.99999774,0.909,2,1,1,1.0
15,Acinetobacter~bacteriophage~AP22,Caudovirales,Myoviridae,Ap22virus,25_0,Clustered,4,VC_25_0,4,0.6103,0.99997061,0.6103,2,2,2,1.0
16,Acinetobacter~phage~AB3,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
17,Acinetobacter~phage~Abp1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,10,VC_28_0,10,0.6274,1.0,0.6274,2,2,2,1.0
